Sum of Invoice Nett Amount,
,
Supplier Name,Total
,
Apollo Property Services Group Ld,"4,552,045.39"
Mulalley & Co Ltd,"1,963,350.00"
Focus Education (Lambeth) Ltd,"1,733,177.59"
Matrix SCM Ltd,"1,481,845.14"
Oco Ltd,"1,177,162.83"
EPS Maintenance,"1,130,021.54"
F M Conway Ltd,"1,121,852.31"
Morrison Facilities Services Ltd,"982,430.57"
T Brown Group Ltd,"944,512.51"
Capita Business Services Ltd,"918,600.70"
Mears Limited,"865,013.47"
Specialist Computer Centers Plc,"669,044.91"
Greenwich Leisure Limited,"557,037.15"
NSL Limited,"518,503.71"
Precision Lift Services Ltd,"463,229.62"
Frosts Landscape Construction ltd,"447,614.10"
Carillion Capital Projects Ltd,"447,000.00"
Allied Healthcare (Uk) Ltd,"442,630.16"
Harrison Catering Services Ltd,"439,365.88"
Denhan International,"368,050.79"
Thames Reach Bondway,"323,264.30"
Southside Partnership,"309,560.85"
Corona Gas,"293,785.05"
Interserve Technical Services Ltd,"260,173.12"
Veolia ES (UK) Ltd,"255,728.47"
Windmill Care Centre,"242,117.22"
Midos Estates Ltd,"241,100.37"
Limetree Healthcare Ltd,"236,712.68"
Lambeth Lighting Services,"222,759.29"
Lengard Ltd,"211,952.56"
Edf Energy Plc,"207,974.90"
South Bank Centre London,"201,080.64"
Queens Oak Care Centre,"196,789.32"
MJF Security Ltd,"183,963.84"
Blakedown Landscapes (SE) Ltd,"174,661.91"
Pitney Bowes Management Services Ltd,"164,931.80"
Look Ahead Housing & Care Ltd,"155,681.55"
Norbury Property Services (London) Ltd,"154,390.79"
Cambian Autism Services Ltd,"153,963.16"
Alltask Ltd,"151,674.59"
Lambeth Mencap,"151,653.81"
Alphatrack Systems Ltd,"150,185.14"
City Suburban Tree Surgeons,"148,633.60"
Broadway,"142,365.02"
SCC INTERNATIONAL LTD,"140,600.00"
Anthony Gold Lerman & Muirhead,"139,184.73"
ISS Eaton,"130,705.41"
Turners Cleaning & Support Services Ltd,"125,661.73"
British Gas Business,"125,599.99"
D Singh Properties Ltd TA DS Properties,"125,140.10"
Baillie Gifford Life Limited,"124,451.40"
AP Thompson Sports Engineering Limited,"121,449.21"
CT Plus,"121,075.83"
Single Homeless Project,"114,148.57"
Virgin Media Business,"110,200.47"
Watmores Solicitors,"109,592.72"
KWSH Ltd,"103,209.10"
Sense,"101,766.64"
Cmg Homes Ltd,"101,548.64"
The Dulwich Care Centre,"100,626.02"
Killby & Gayford Ltd,"97,053.63"
ITC Concepts Limited,"95,325.87"
Mulalley and Co Ltd,"90,126.40"
Solor Care Group Ltd,"87,449.63"
Russell Trew Roofing Ltd,"87,019.92"
Foster Care Associates Ltd,"86,920.73"
Hytyme Ltd,"86,371.00"
Curocare Ltd,"86,329.27"
Sanctuary Care Ltd,"85,720.71"
Medequip Assistive Technology Ltd,"85,331.60"
St Mungo Association,"84,149.94"
Chatsworth Care,"83,323.34"
Lambeth Living Ltd,"82,296.98"
RSM Tenon Ltd,"81,360.00"
Heywood Limited,"79,326.00"
Hunter & Partners,"79,232.90"
Refuge,"78,357.09"
Thames Water Utilities Ltd,"77,681.84"
Banya Family Placement Agency,"76,335.80"
W G Wigginton Ltd,"74,825.80"
National Autistic Society,"74,552.13"
Quality Protects Children Ltd,"72,514.28"
South London YMCA,"70,093.20"
Centrepoint Soho Ltd,"69,834.03"
F S Properties,"69,080.87"
Tumblewood Community,"68,528.22"
Deloitte LLP,"67,363.50"
388 STREATHAM HUB LTD,"65,935.73"
Lambert Smith Hampton,"65,417.31"
Care Unlimited,"63,479.35"
Dell Computer Corporation Ltd,"61,740.32"
Family Mosaic,"61,474.67"
Four Seasons Health Care Ltd,"60,746.08"
The Weir Link,"60,662.50"
Sternberg Reed Taylor & Gill Sols,"59,492.44"
Frontier Support Services Ltd,"58,830.48"
Caretech Community Services Ltd,"57,373.53"
SumTotal Systems UK Ltd,"56,000.00"
BHHI,"55,232.98"
Insight,"54,657.84"
R@W Logistics Ltd,"54,325.72"
TBS Adaptations Ltd,"53,859.44"
One Step At A Time,"51,911.58"
L'Arche Lambeth Community,"51,348.13"
The Rainbow Charity,"50,613.06"
Riverside ECHG,"50,405.96"
Clearblue Properties Ltd,"49,644.00"
Blizz Hotels,"49,015.39"
Sherico Care Homes Ltd,"48,791.51"
Carewatch (Lambeth),"48,139.78"
Russell Play,"47,749.30"
Families For Children (South) Ltd,"47,635.17"
Solace Women's Aid,"46,736.55"
Laurels Care Centre Ltd,"46,679.71"
Blackford Education (Exmoor) Ltd t/a Libra,"46,485.00"
BUPA Care Homes,"45,867.15"
Stanley Security Solutions,"45,338.00"
Mace Ltd,"45,320.70"
CIPFA,"44,879.32"
Age UK Lambeth,"44,508.02"
Integrated Services Programme,"44,052.96"
Ensigna Construction Ltd,"43,924.65"
British Telecommunications Plc,"43,447.13"
Oxford Computer Consultants Ltd,"42,592.39"
Orland Limited & Blue Chip Trading Limited No 2 Account,"42,340.50"
Terry Farrell & Partner Ltd,"42,295.00"
Insight Investment,"42,129.22"
Charlie Chaplin Adventure Playground,"41,336.79"
ISG Jackson Limited,"40,850.00"
Hydrotech Services Ltd,"40,635.69"
Frankham Consultancy Group Ltd,"40,042.90"
Eversheds LLP,"39,440.25"
Metropolitan Support Trust,"39,127.44"
Home Connections Letting Ltd,"38,800.00"
Norcrest (2000) Home Limited,"38,760.48"
Apex Lifts,"38,722.25"
Swaay,"38,515.40"
Lynstead Childrens Services,"38,297.39"
The Frances Taylor Foundation,"37,660.39"
Childcare Vouchers Ltd.,"37,426.77"
Ekaya Housing Association Ltd,"37,303.20"
Acorn Residential Home,"37,262.97"
Plus One (South West) Ltd,"37,210.00"
OCS Group UK Limited t/a Cannon,"36,021.26"
Nacro,"34,958.94"
Greater London Fostering,"34,538.05"
The Rathbone Centre,"33,875.50"
Holmdene Housing Ltd,"33,491.88"
Supported Fostering Services,"32,830.11"
RSP Rail Travel Account,"32,740.30"
Adventure Playground Engineers Ltd,"32,437.61"
Saltash Enterprises Ltd,"32,117.15"
Hiorns International Ltd,"31,930.01"
Aspect Construction,"31,730.55"
Lancedrum Ltd,"31,636.59"
Sanctuary Carr-Gomm,"31,379.93"
Medicrest Limited t/a Acorn Care Homes,"31,325.75"
