Sum of Invoice Nett Amount,
Supplier Name,Total
Lambeth Living Ltd,"£2,909,121.01"
Western Riverside Waste Authority,"£2,159,010.99"
F M Conway Ltd,"£1,422,501.62"
Matrix SCM Ltd,"£1,354,068.40"
Morrison Facilities Services Ltd,"£1,079,711.74"
Veolia ES (UK) Ltd,"£1,056,062.38"
Harrison Catering Services Ltd,"£922,252.04"
Breyer Group Plc,"£843,728.72"
Lengard Ltd,"£748,128.19"
Mears Limited,"£644,904.88"
Loughborough Emb Ltd,"£589,143.60"
NSL Limited,"£486,188.75"
Capita Business Services Ltd,"£480,718.58"
Allied Healthcare (Uk) Ltd,"£475,768.91"
Ethelred Tmo,"£423,506.39"
Thames Reach Bondway,"£393,324.77"
Denhan International,"£385,288.52"
Department for Communities & Local Government,"£371,736.29"
Pitney Bowes Management Services Ltd,"£366,444.05"
Lambert Smith Hampton,"£353,870.58"
Cathedral (Clapham) Ltd,"£333,100.00"
Southside Partnership,"£321,064.98"
Jardine Lloyd Thompson UK Ltd,"£290,372.55"
Roupell Park Residents Mgt Coop Ltd,"£282,603.00"
St Mungo Association,"£271,449.09"
Lambeth Lighting Services,"£262,661.30"
Bircham Dyson Bell,"£260,000.00"
Myatts Field North TMO,"£258,699.60"
Interserve Technical Services Ltd,"£256,046.75"
Midos Estates Ltd,"£249,040.73"
Windmill Care Centre,"£235,521.64"
Limetree Healthcare Ltd,"£230,264.23"
Cowley EMB Ltd,"£211,461.00"
Lambeth Mencap,"£211,407.78"
Oco Ltd,"£211,291.20"
Mr D S Taak,"£198,296.40"
Thorlands Emb,"£197,832.00"
Queens Oak Care Centre,"£191,428.12"
Fountains Environmental Ltd,"£188,927.73"
ISS Eaton,"£185,503.34"
Cambian Care Services Ltd,"£181,399.70"
Eagle House School,"£176,194.38"
Blackford Education (Exmoor) Ltd t/a Libra,"£172,600.10"
Blenheim Gardens Tmo,"£166,863.00"
Hertel (UK) Ltd,"£162,447.15"
The Hesley Group Ltd,"£152,332.90"
Cetra Housing Co-Operative Ltd,"£149,253.00"
United Residents Housing,"£147,850.05"
Single Homeless Project,"£132,257.49"
Waltham Estate Resident Management Organisation,"£129,381.00"
Metropolitan Support Trust,"£116,640.66"
Lambeth Voluntary Action Council,"£116,604.26"
Kingsdale Nursing Home,"£116,116.52"
Metropolitan Housing Trust London,"£113,175.44"
Cmg Homes Ltd,"£112,424.09"
Pacca TMO Ltd,"£112,353.00"
Cottington Close Tmc,"£108,564.00"
Sense,"£104,461.12"
Coin Co International Plc,"£103,910.17"
Hyder Consulting Ltd,"£102,094.27"
Turners Cleaning & Support Services Ltd,"£101,717.26"
Solor Care Group Ltd,"£98,023.00"
Gallagher Bassett International Ltd,"£97,501.00"
Gold Knight Trading Ltd,"£95,524.63"
Aon,"£95,072.46"
Saltash Enterprises Ltd,"£95,026.65"
Lambeth Community Health,"£94,680.27"
South Bank Employers Group,"£94,470.06"
Baily Garner,"£93,891.65"
Enterprise Plc,"£91,556.35"
London Power Networks plc,"£91,152.00"
Southern Electric Plc,"£90,103.55"
Healthcare & Transport Services,"£89,664.06"
Caretech Community Services Ltd,"£88,161.46"
Hilife Construction Co Ltd,"£88,101.72"
Westminster Home Care Ltd,"£87,644.61"
The Mulberry Bush School,"£86,837.56"
Chatsworth Care,"£83,530.82"
Ethelbert Homes,"£82,057.05"
Compass,"£82,000.00"
Family Mosaic,"£81,291.79"
F S Properties,"£80,950.65"
Centrepoint Soho Ltd,"£80,229.65"
Holland Rise And Whitebeam Close Tmo,"£79,992.00"
Norbury Property Services (London) Ltd,"£79,594.24"
British Gas Business,"£78,935.16"
Stonewest Ltd,"£78,698.98"
Sherico Care Homes Ltd,"£78,213.94"
Alphatrack Systems Ltd,"£78,181.59"
The Fostering Partnership,"£78,156.60"
Metra Housing Co-Op,"£78,106.75"
Cunningham Lindsey United Kingdom,"£76,264.00"
Regard Partnership,"£74,941.84"
South London YMCA,"£74,470.12"
Anthony Gold Lerman & Muirhead,"£73,286.11"
Look Ahead Housing & Care Ltd,"£73,058.45"
IQRA Independent School,"£72,653.00"
388 STREATHAM HUB LTD,"£69,828.50"
British Telecommunications Plc,"£69,217.28"
National Fostering Agency,"£68,330.98"
Wellington Mills Housing Tmc,"£67,855.75"
Sorag Carers And Special Needs Project,"£67,525.32"
Families For Children (South) Ltd,"£67,079.02"
EPS Maintenance,"£66,661.89"
Klearwater Supported Homes Ltd,"£66,430.39"
Lambeth College,"£66,295.24"
Solace Women's Aid,"£64,697.29"
Cambian Care Services,"£62,861.89"
Castlebeck Care (Teesdale) Ltd,"£62,437.42"
The Rathbone Centre,"£62,101.45"
The Weir Link,"£61,187.50"
Trustmarque Solutions Ltd,"£60,991.25"
Frontier Support Services Ltd,"£60,850.08"
Supported Fostering Services,"£60,380.76"
BHHI,"£60,088.24"
Barlow Lyde & Gilbert,"£59,366.80"
Pinnacle Psg,"£58,970.65"
Oakfield Nursery,"£58,526.00"
Blossom House School,"£57,895.00"
English Churches Housing Group,"£57,382.77"
London Councils,"£55,341.25"
Clapham Park Project,"£55,296.32"
Shepheard Epstein Hunter Plc,"£54,707.50"
Kelly Executive,"£53,389.90"
Lambeth Law Centre,"£52,995.60"
Blizz Hotels,"£52,879.97"
North Hill House Priory,"£52,801.30"
Diamond Build Plc,"£52,236.30"
British Gas Services Ltd,"£50,760.33"
Laurels Care Centre Ltd,"£50,692.51"
Royal Mencap Society,"£50,411.52"
Broadway,"£50,369.74"
Four Seasons Health Care Ltd,"£50,191.49"
Care Unlimited,"£49,846.89"
Esro Ltd,"£48,400.00"
