 Sum of Invoice Nett Amount ,
 Supplier Name , Total 
 16 Plus Independent Living Project ," 3,562.12 "
 198 Contemporary Arts & Learning Ltd ," 26,939.00 "
 2 Care Ltd ," 12,214.28 "
 22 Design Ltd ," 1,940.00 "
 229 Mitcham Lane Ltd ," 33,658.52 "
 2nd Step Nursery & Pre-School ," 2,596.67 "
 4Children Trading Ltd ," 23,073.75 "
 A & R Associates , 620.00 
 A*Transport Ltd. ," 19,618.50 "
 A4e Ltd ," 6,800.00 "
 ABBA/Mechatronics ," 23,230.16 "
 Abbeyfield Dorcas Society , 806.36 
 Abbeyfield Society Ltd ," 1,316.72 "
 Abbeyfield Stangrove Lodge ," 1,986.56 "
 Abbeyfield The Dynes ," 1,780.00 "
 ABC Consultants ," 1,440.00 "
 Abi McHugh de Clare ," 1,600.00 "
 Accero UK Ltd ," 30,895.00 "
 Access Garage Doors Ltd , 802.00 
 Access Mobility Transport Ltd ," 6,284.00 "
 Accora ," 1,295.00 "
 Acorn Residential Home ," 17,813.20 "
 Acorn Village ," 3,706.52 "
 Action For Blind People ," 1,058.40 "
 Action For Children Services Ltd. ," 139,913.28 "
 Acts Cleaning Services Ltd , 845.00 
 Acumension Ltd ," 2,122.80 "
 Addington House Ltd ," 6,485.07 "
 Addlestone Lodge ," 1,325.64 "
 Adminland Ltd ," 12,445.76 "
 Adoption Uk , 665.00 
 Adrian Jenkins ," 1,000.00 "
 Advocacy Partners Speaking Up ," 90,289.00 "
 Age Concern Lambeth ," 16,835.80 "
 AIM Project ," 1,550.00 "
 Aitch Care Homes Ltd ," 5,662.86 "
 Albany Lodge Nursing Home ," 7,548.02 "
 Alcohol Recovery Project ," 41,164.16 "
 Alexander Family Nursing Home ," 4,037.88 "
 All About Care ," 1,322.80 "
 Allied Care Ltd ," 7,540.68 "
 Allied Healthcare (Uk) Ltd ," 474,683.13 "
 Allied Supported Living Ltd ," 12,746.48 "
 Alphatrack Systems Ltd ," 37,521.43 "
 Amazea Ltd ," 2,650.50 "
 Amber Care (East Anglia) Ltd ," 11,107.76 "
 Amber Construction Services Limited ," 17,839.45 "
 Amberol Limited ," 1,665.00 "
 AME Disability Consultants Ltd ," 1,540.00 "
 AmicusHorizon Ltd ," 11,233.52 "
 Anchor Trust ," 2,923.52 "
 Angles Guest House , 840.00 
 Anglo Spanish Nursery ," 16,359.00 "
 Ann Austin ," 1,240.00 "
 Anna House ," 2,499.98 "
 Anthony Gold Lerman & Muirhead ," 15,200.00 "
 Apollo Property Services Group Ld ," 137,569.18 "
 Appleyards DWB ," 26,055.96 "
 Aquajoy Bathlifts Ltd ," 4,125.00 "
 Aquaneed Ltd ," 6,000.00 "
 Aquarius Group , 977.72 
 Architectural Decorators Ltd ," 7,983.00 "
 AR-create Ltd. ," 8,034.38 "
 Ark On The Park ," 3,428.28 "
 Arlington House Residential Home , 845.80 
 ARVAL PHH ," 16,752.90 "
 Ascendit Lifts Ltd ," 2,675.00 "
" Ashbourne Homes Ltd, Broome End care Centre ", 932.56 
 Ashbrook House Ltd ," 6,669.60 "
 Ashchurch House Ltd ," 4,944.24 "
 Ashcroft Care Services ," 13,872.06 "
 Ashdene House Ltd ," 5,502.00 "
 Ashfords ," 24,656.50 "
 Ashgate House ," 4,430.72 "
 Ashmill Residential Care Home Ltd ," 2,715.40 "
 Ashmount Care Home with Nursing , 735.68 
 Ashton Lodge ," 1,158.80 "
 Ashvale Landscape Supplies , 551.80 
 Askews Library Services Ltd , 594.92 
 Aspect Construction ," 23,684.00 "
 Asphaltic Limited ," 40,020.04 "
 Asquith Court Pre-School - 1 ," 3,167.93 "
 Asquith Court Pre-School(2) ," 2,726.50 "
 ASRA Greater London Housing Association Ltd ," 10,847.20 "
 Assessment and Qualifications Alliance ," 2,618.10 "
 Assisi Community Care ," 1,301.91 "
 Astra Homes Ltd ," 84,516.07 "
 Atkins Ltd ," 6,415.00 "
 Atlas Healthcare Ltd ," 7,094.80 "
 Automotive Leasing Limited ," 6,531.85 "
 Autumn Lodge Care Home ," 1,275.80 "
 AVA (against Viloence & Abuse) ," 12,190.00 "
 Avens Ltd ," 12,916.32 "
 Avocent Software Limited ," 29,491.58 "
 AWICS , 520.00 
 Axcis Education Recruitment ," 3,900.00 "
 Ayerst Environmental Ltd ," 2,100.00 "
 BAAF ," 2,066.90 "
 Baby Room ," 9,245.83 "
 Back Care Solutions Ltd. ," 1,402.75 "
 Bailey Simpson & Associates ," 6,111.92 "
 Baily Garner ," 44,022.99 "
 Banya Family Placement Agency ," 43,939.60 "
 Barchester Healthcare Homes Ltd ," 15,306.32 "
 Barlow Lyde & Gilbert ," 3,850.00 "
 Barnardo Services Ltd ," 41,271.00 "
 Basis Ltd ," 5,350.00 "
 Bates Zambelli Limited ," 2,000.00 "
 Be My Family Fostering Agency Ltd ," 27,519.96 "
 Beach Communications Ltd ," 44,122.07 "
 Beacon Care Ltd ," 10,688.95 "
 Beacon House Nursing Home ," 3,706.44 "
 Beckenham Management Services Ltd ," 6,300.00 "
 Beckett Corporation Ltd ," 3,840.00 "
 Beech Care Ltd ," 3,465.74 "
 Belshaw Curtin Sols ," 27,500.00 "
 Benecare Education & Residential Child Care ," 14,000.00 "
 Berridge Road Estate Resource Centre ," 2,500.00 "
 Bertram Library Services , 574.76 
 Beverley Grange Nursing Home ," 1,129.96 "
 BHHI ," 57,450.92 "
 BIFFA Waste Servicess Ltd ," 1,207.44 "
 Big D Furniture Ltd ," 8,774.00 "
 Bishop Lloyd & Jackson ," 1,458.33 "
