Sum of Invoice Net Amount,

Supplier Name,Total
Lambeth Living Ltd,"3,942,708.84"
Engage Lambeth Limited,"3,729,047.75"
Apollo Property Services Group Ld,"1,613,305.05"
United Residents Housing,"1,492,911.75"
Veolia ES (UK) Ltd,"1,456,381.27"
Matrix SCM Ltd,"1,202,326.07"
Morrison Facilities Services Ltd,"1,161,371.70"
NSL Limited,"898,070.39"
Allied Healthcare (Uk) Ltd,"850,686.72"
Capita Business Services Ltd,"755,877.08"
Breyer Group Plc,"713,808.51"
Mears Limited,"698,889.73"
F M Conway Ltd,"661,789.44"
Focus Education (Lambeth) Ltd,"472,756.07"
Lambeth Lighting Services,"447,245.18"
Harrison Catering Services Ltd,"427,122.59"
Corona Gas,"394,805.91"
Denhan International,"393,312.81"
SCC INTERNATIONAL LTD,"389,914.86"
MJF Corporate Guarding Ltd,"350,025.58"
Oco Ltd,"298,827.34"
Blakedown Landscapes (SE) Ltd,"293,660.57"
Southside Partnership,"284,045.91"
Frosts Landscape Construction ltd,"278,521.20"
EPS Maintenance,"262,815.72"
Specialist Computer Centers Plc,"262,702.95"
RM Education plc,"255,641.33"
Midos Estates Ltd,"253,840.71"
Windmill Care Centre,"250,187.80"
Limetree Healthcare Ltd,"244,603.11"
Thames Reach Bondway,"236,950.10"
CT Plus,"236,230.43"
Quinn London Limited,"223,100.00"
The Fostering Partnership,"209,538.22"
Medequip Assistive Technology Ltd,"205,324.18"
Queens Oak Care Centre,"203,348.97"
Curocare Ltd,"201,014.60"
T Brown Group Ltd,"194,934.87"
Willmott Dixon Ltd,"183,013.61"
St Mungo Association,"165,229.88"
Norbury Property Services (London) Ltd,"164,909.30"
Age Concern,"162,500.00"
Turners Cleaning & Support Services Ltd,"162,016.38"
National Fostering Agency,"142,062.57"
D Singh Properties Ltd TA DS Properties,"141,078.93"
Apex Lifts,"136,785.69"
British Telecommunications Plc,"131,233.85"
Thorlands Emb,"129,888.09"
Keratome Ltd,"121,337.23"
The Rathbone Centre,"120,114.19"
Tesco Stores Ltd,"118,807.00"
Interserve Technical Services Ltd,"115,558.34"
Cmg Homes Ltd,"115,423.48"
Foster Care Associates Ltd,"113,067.03"
Care Unlimited,"112,592.10"
The Dulwich Care Centre,"111,943.44"
Quality Protects Children Ltd,"111,142.85"
Families For Children (South) Ltd,"110,890.21"
Deloitte LLP,"110,570.00"
Greenwich Leisure Limited,"107,213.33"
Anthony Gold Lerman & Muirhead,"106,552.78"
Pitney Bowes Management Services Ltd,"106,412.26"
The Frances Taylor Foundation,"106,068.92"
Look Ahead Housing & Care Ltd,"105,745.26"
Astra Homes Ltd,"103,301.97"
Transport For London,"101,193.82"
Cunningham Lindsey United Kingdom,"100,698.00"
Sense,"97,723.40"
Emo Oil Ltd,"95,839.40"
Forest Gate Construction Co Ltd,"94,298.43"
Solace Women's Aid,"93,239.47"
Solor Care Group Ltd,"92,835.90"
Sanctuary Care Ltd,"90,733.72"
Lambeth Mencap,"90,001.38"
Broadway,"88,183.96"
Freestyle Skateparks Ltd,"86,669.55"
South Thames Crossroads,"86,461.00"
Kelly Executive,"86,022.20"
British Gas Business,"85,014.01"
The Hesley Group Ltd,"83,522.64"
Chatsworth Care,"82,138.80"
Virgin Media Business,"81,610.18"
One Step At A Time,"81,116.13"
Four Seasons Health Care Ltd,"79,299.58"
BUPA Care Homes,"74,918.44"
KWSH Ltd,"74,467.31"
Single Homeless Project,"74,325.26"
F S Properties,"74,061.06"
Wicksteed Leisure Ltd,"73,734.76"
Thames Water Utilities Ltd,"73,493.70"
Mace Ltd,"72,701.70"
ISS Eaton,"72,567.01"
Mulalley & Co Ltd,"72,157.96"
OCS Group UK Limited t/a Cannon,"72,042.52"
Lambert Smith Hampton,"68,292.50"
Direct Care Ltd,"65,825.49"
388 STREATHAM HUB LTD,"65,420.83"
Refuge,"62,383.09"
Blizz Hotels,"61,625.92"
The Weir Link,"60,662.50"
Holmdene Housing Ltd,"60,224.14"
Blackford Education (Exmoor) Ltd t/a Libra,"59,912.00"
London Grid For Learning,"59,663.79"
Cognithan Ltd,"59,072.81"
Acorn Norfolk Ltd t/a Acorn Park School,"59,054.00"
Southern Care Ltd,"57,972.88"
BHHI,"57,178.21"
Brigstock House,"57,055.00"
Galaxy Lettings Ltd,"54,554.00"
Hortech Ltd.,"54,257.71"
Victim Support Lambeth,"54,143.85"
Metric Group Ltd,"53,029.62"
Frontier Support Services Ltd,"50,970.08"
Clareville Lodge,"50,744.91"
The Rainbow Charity,"50,613.06"
Killby & Gayford Ltd,"50,578.00"
Alphatrack Systems Ltd,"50,467.60"
Leonard Cheshire Chipstead Lake,"49,354.00"
Hytyme Ltd,"48,910.00"
R@W Logistics Ltd,"48,867.64"
