Sum of Invoice Nett Amount,
Supplier Name, Total 
198 Contemporary Arts & Learning Ltd," 16,484.00 "
2 Pump Court," 1,100.00 "
229 Mitcham Lane Ltd," 61,222.09 "
2nd Step Nursery & Pre-School," 1,540.00 "
388 STREATHAM HUB LTD," 65,245.50 "
3rd Leg Limited," 9,375.00 "
A A GuestHouses," 1,800.00 "
A*Transport Ltd.," 30,992.57 "
A4e Ltd," 5,100.00 "
Abbeyfield Dorcas Society, 806.36 
Abbeyfield Society Ltd," 1,119.24 "
Abbeyfield Stangrove Lodge," 2,199.41 "
Ability Housing Association," 3,967.33 "
ACC (London) Ltd, 524.00 
Access Mobility Transport Ltd," 8,046.00 "
Acorn Residential Home," 16,627.20 "
Acorn Village," 4,092.12 "
Action For Blind People," 1,058.40 "
Action For Children Services Ltd.," 6,877.57 "
Action on Addiction Ltd, 515.85 
ADCRIS C.I.C," 55,650.30 "
Addington House Ltd," 5,826.01 "
Addlestone Lodge," 1,467.67 "
Adminland Ltd," 13,962.40 "
Adoption Uk," 1,287.63 "
ADR Care Homes Limited," 1,389.02 "
Aecom Ltd," 3,750.00 "
Age Concern Lambeth," 12,201.72 "
Aidapt Bathrooms Ltd," 1,859.80 "
Aitch Care Homes Ltd," 5,651.34 "
Albany Lodge Nursing Home," 6,111.91 "
Alexander Family Nursing Home," 4,458.73 "
Alice Lodge," 2,878.58 "
All About Care," 1,444.82 "
Allied Care Ltd," 8,348.61 "
Allied Healthcare (Uk) Ltd," 598,037.20 "
Alphatrack Systems Ltd," 75,999.99 "
Amber Care (East Anglia) Ltd," 11,097.36 "
AmicusHorizon Ltd," 11,358.56 "
Anchor Trust," 2,554.44 "
Andrews Air Conditioning & Refrigeration Ltd," 15,457.00 "
Angell Town Emb," 10,000.00 "
Angles Guest House," 2,940.00 "
Anglo Spanish Nursery," 7,699.00 "
Ann Austin," 1,240.00 "
Anna Cohen, 630.00 
Anna House, 700.00 
Anne Farren, 900.00 
Anne Thorne Architects," 6,477.00 "
Anthony Gold Lerman & Muirhead," 62,991.52 "
Anthony Gold Solicitors," 2,871.01 "
Apex Lifts," 95,887.46 "
Apollo Property Services Group Ld," 649,211.51 "
Appleyards DWB," 71,050.80 "
Aquaneed Ltd," 1,525.00 "
Aquarius Group," 1,082.48 "
Aquatech Environmental Services Ltd," 5,088.00 "
Ark On The Park," 1,762.00 "
Arlington House Residential Home, 834.98 
ARVAL PHH," 3,807.38 "
"Ashbourne Homes Ltd, Broome End care Centre"," 1,032.48 "
Ashbrook House Ltd," 4,125.79 "
Ashchurch House Ltd," 5,462.20 "
Ashcroft Care Services," 13,849.03 "
Ashdene House Ltd," 6,067.94 "
Ashfords," 20,260.00 "
Ashgate House," 4,412.88 "
Ashmill Residential Care Home Ltd," 2,994.82 "
Ashmount Care Home with Nursing, 711.47 
Ashton Lodge," 1,263.25 "
Askews and Holts Library Services Ltd," 5,650.05 "
Aspect Services, 574.42 
Asphaltic Limited," 51,455.17 "
Asquith Court Pre-School - 1," 1,670.00 "
Asquith Court Pre-School(2)," 1,413.00 "
ASRA Greater London Housing Association Ltd," 11,376.00 "
Assisi Community Care," 1,259.91 "
Associated Care Services Ltd," 1,948.57 "
Astra Homes Ltd," 75,475.80 "
Atkins Ltd," 9,738.38 "
Atlas Healthcare Ltd," 7,084.40 "
Audit Commission," 2,075.00 "
Automotive Leasing Limited," 4,348.50 "
Autumn Lodge Care Home," 1,392.78 "
Avant Garde (Croydon) Ltd, 883.78 
Avens Ltd," 4,295.04 "
Aviva Healthcare UK Ltd," 14,670.00 "
Avocent Software Limited," 3,600.00 "
Axcis Education Recruitment," 1,170.00 "
Axten Football Club," 3,462.00 "
Ayerst Environmental Ltd," 8,930.00 "
BAAF," 2,506.99 "
Baby Room," 1,350.00 "
Banya Family Placement Agency," 25,019.55 "
Barchester Healthcare Homes Ltd," 6,311.36 "
Barchester Healthcare Ltd," 11,456.21 "
Barka UK," 12,600.00 "
Barlow Lyde & Gilbert," 30,962.42 "
Barnardo Services Ltd," 2,400.00 "
Basis Ltd," 1,450.00 "
Be My Family Fostering Agency Ltd," 14,459.64 "
Beach Communications Ltd," 18,760.06 "
Beacon Care Ltd," 5,585.00 "
Beacon House Nursing Home," 4,103.56 "
Beckenham Management Services Ltd," 6,300.00 "
Beckett Corporation Ltd," 5,440.00 "
Bede House Association," 1,453.14 "
Belshaw Curtin Sols," 3,007.47 "
Benecare Education & Residential Child Care," 11,200.00 "
Berkley Owls, 900.00 
Beulah House Hotel," 1,980.00 "
Beverley Grange Nursing Home," 1,231.32 "
Beverley Lodge Nursing Home," 2,009.24 "
BHHI," 64,357.72 "
BIFFA Waste Servicess Ltd," 1,365.90 "
Big D Furniture Ltd," 5,217.00 "
Bishop Lloyd & Jackson," 11,750.00 "
Black Cultural Archives," 22,485.02 "
Blackford Education (Exmoor) Ltd t/a Libra," 110,892.00 "
Blakedown Landscapes (SE) Ltd," 93,629.19 "
Blakedown Sport & Play Ltd," 26,122.26 "
Blanchworth Care," 1,148.64 "
Blenheim Gardens Tmo," 47,512.00 "
Blizz Hotels," 50,113.95 "
Blocklin House Ltd," 10,445.23 "
Blossom House School," 9,666.00 "
BME Solutions Ltd," 1,450.00 "
BNP Paribas Lease Group (Rentals) Ltd, 849.45 
Bovells Lodge," 13,445.61 "
Boveridge House School Trust," 22,114.00 "
Brain Injury Rehabilitation Trust," 8,728.31 "
Breyer Group Plc," 625,033.17 "
Brick Barn Residential Care Home," 3,205.57 "
Bright Futures Day Nursery," 3,340.00 "
British Gas," 3,699.32 "
