Sum of Invoice Nett Amount,
Supplier Name,Total
Morrison Facilities Services Ltd,"£2,332,964.78"
Veolia ES (UK) Ltd,"£2,195,216.61"
Lambeth Living Ltd,"£1,791,828.61"
Capita Business Services Ltd,"£1,619,925.31"
Thames Water Utilities Ltd,"£1,567,069.34"
Matrix SCM Ltd,"£1,257,743.24"
Western Riverside Waste Authority,"£1,177,945.19"
United Residents Housing,"£1,164,987.20"
Mears Limited,"£1,129,875.80"
Apollo Property Services Group Ld,"£898,686.74"
Loughborough Emb Ltd,"£845,261.50"
Lengard Ltd,"£729,166.02"
Harrison Catering Services Ltd,"£635,515.40"
Lambeth Lighting Services,"£491,195.40"
Allied Healthcare (Uk) Ltd,"£481,084.19"
Engage Lambeth Limited,"£475,542.60"
Focus Education (Lambeth) Ltd,"£472,406.66"
Breyer Group Plc,"£464,457.11"
Roupell Park Residents Mgt Coop Ltd,"£423,772.44"
Interserve Technical Services Ltd,"£403,360.56"
Pitney Bowes Management Services Ltd,"£401,661.28"
Denhan International,"£374,053.45"
Ethelred Tmo,"£351,045.28"
Greenwich Leisure Limited,"£321,639.99"
Lee Valley Regional Park,"£314,729.64"
East Riding of Yorkshire Council,"£305,234.27"
Southside Partnership,"£292,891.15"
F M Conway Ltd,"£282,975.97"
DDS Demolition,"£266,168.00"
Corona Gas,"£261,817.81"
Myatts Field North TMO,"£252,569.00"
Midos Estates Ltd,"£250,018.77"
Thames Reach Bondway,"£242,110.39"
Windmill Care Centre,"£235,521.64"
Limetree Healthcare Ltd,"£230,264.23"
Cambian Autism Services Ltd,"£221,023.49"
Turners Cleaning & Support Services Ltd,"£215,249.91"
MJF Corporate Guarding Ltd,"£212,070.40"
Edf Energy Plc,"£202,187.33"
Cambian Care Services,"£192,162.48"
Queens Oak Care Centre,"£191,428.10"
Prime Estates Property Management,"£188,662.50"
Mr D S Taak,"£188,333.83"
Cowley EMB Ltd,"£176,217.50"
Eagle House School,"£169,559.72"
Medequip Assistive Technology Ltd,"£166,932.24"
Majedie Asset Management Ltd,"£166,524.76"
St Mungo Association,"£165,229.88"
Thorlands Emb,"£164,860.00"
London Councils,"£161,813.56"
Caretech Community Services Ltd,"£160,795.04"
Atkins Ltd,"£154,216.63"
L'Arche Lambeth Community,"£152,526.03"
Keratome Ltd,"£151,338.59"
Blenheim Gardens Tmo,"£147,356.94"
Cetra Housing Co-Operative Ltd,"£143,705.00"
Lambert Smith Hampton,"£143,491.52"
British Telecommunications Plc,"£135,141.79"
Cmg Homes Ltd,"£134,797.83"
National Fostering Agency,"£131,334.37"
RM Education plc,"£130,010.85"
Lancedrum Ltd,"£128,509.00"
Hyder Consulting Ltd,"£124,049.36"
Cottington Close Tmc,"£118,170.00"
Blackford Education (Exmoor) Ltd t/a Libra,"£117,605.00"
Corelogic Ltd,"£116,237.91"
The Rathbone Centre,"£109,982.60"
Kingsdale Nursing Home,"£109,949.86"
229 Mitcham Lane Ltd,"£109,390.19"
Astra Homes Ltd,"£108,742.73"
Waltham Estate Resident Management Organisation,"£107,817.50"
Ashfords,"£107,439.00"
Sense,"£104,480.90"
Healthcare & Transport Services,"£103,710.42"
Foster Care Associates Ltd,"£102,802.65"
Solor Care Group Ltd,"£102,740.50"
Pacca TMO Ltd,"£93,627.50"
Supported Fostering Services,"£93,548.92"
Penrose Housing Association,"£93,010.12"
Manon House,"£91,728.51"
Orchard Hill College,"£91,704.45"
The Loddon School,"£91,002.00"
EPS Maintenance,"£90,439.35"
The Fostering Partnership,"£90,254.14"
British Gas Business,"£89,760.38"
CT Plus,"£87,823.60"
Newham House Supporting People Ltd,"£87,557.18"
Sorag Carers And Special Needs Project,"£87,373.64"
Cranfield Investments Ltd,"£86,925.28"
Lambeth Mencap,"£85,292.44"
Metropolitan Support Trust,"£84,887.88"
Northgate Information Solutions Uk Ltd,"£83,233.82"
Sherico Care Homes Ltd,"£82,229.19"
Single Homeless Project,"£80,504.56"
Pellings LLP,"£79,970.78"
Compass,"£78,750.00"
Metra Housing Co-Op,"£78,106.75"
F S Properties,"£77,023.81"
PricewaterhouseCoopers,"£76,404.00"
Gleeds Management Services Ltd,"£75,809.72"
Ssg Landscape Construction Ltd,"£73,321.56"
Bryn Melyn Care Ltd,"£70,732.12"
N Hosanee (Roselands),"£69,617.76"
Kindercare Fostering Ltd,"£67,411.48"
Quality Protects Children Ltd,"£67,014.29"
Holland Rise And Whitebeam Close Tmo,"£66,660.00"
Invicta Building Services Ltd,"£66,500.00"
Richmond Management (Northern) Ltd,"£66,250.00"
Sanctuary Care Ltd,"£65,804.00"
Trinity College London,"£65,754.19"
Tumblewood Community,"£65,042.68"
Underley Educational Services,"£64,489.60"
BUPA Care Homes,"£64,302.73"
Kelly Executive,"£64,237.34"
Families For Children (South) Ltd,"£63,905.61"
Portakabin Limited,"£62,532.96"
Post Office Ltd,"£62,271.57"
North East London Foundation Trust,"£62,017.20"
Stonewest Ltd,"£60,803.63"
Wellington Mills Housing Tmc,"£60,596.25"
BHHI,"£60,069.39"
Laurels Care Centre Ltd,"£59,407.60"
Mace Ltd,"£58,792.95"
Westminster Home Care Ltd,"£58,789.11"
Oakfield Nursery,"£58,526.00"
Care Unlimited,"£57,969.09"
Four Seasons Health Care Ltd,"£56,961.29"
Nas Services Ltd,"£56,101.65"
Orbis Property Protection Ltd,"£54,100.00"
Blizz Hotels,"£49,872.83"
The Rainbow Charity,"£49,708.35"
Holmdene Housing Ltd,"£49,608.42"
Acorn Residential Home,"£48,835.52"
Centrepoint Soho Ltd,"£48,835.44"
