Sum of Invoice Nett Amount,
,
Supplier Name,Total
,
Veolia ES (UK) Ltd,"3,868,273.94"
Apollo Property Services Group Ld,"2,724,285.35"
Engage Lambeth Limited,"1,474,498.81"
Matrix SCM Ltd,"1,319,444.82"
Carillion Capital Projects Ltd,"1,263,450.22"
Morrison Facilities Services Ltd,"1,240,213.98"
Oco Ltd,"1,188,693.75"
Mears Limited,"1,167,618.77"
Lambeth Living Ltd,"1,121,933.00"
Tesco Stores Ltd,"991,803.80"
Specialist Computer Centers Plc,"960,580.05"
Cathedral (Clapham) Ltd,"916,260.60"
Harrison Catering Services Ltd,"895,589.52"
T Brown Group Ltd,"764,980.87"
Capita Business Services Ltd,"757,981.96"
EPS Maintenance,"698,663.30"
Focus Education (Lambeth) Ltd,"574,546.28"
Allied Healthcare (Uk) Ltd,"509,307.01"
RM Education plc,"482,024.58"
Quinn London Limited,"480,150.00"
Frosts Landscape Construction ltd,"465,882.30"
Lambeth Lighting Services,"463,513.26"
Corona Gas,"455,315.37"
F M Conway Ltd,"445,438.54"
NSL Limited,"429,830.87"
Denhan International,"387,921.33"
MJF Security Ltd,"383,881.48"
Pitney Bowes Management Services Ltd,"378,495.64"
United Residents Housing,"377,948.01"
Edf Energy Plc,"351,547.11"
Cambian Care Services,"316,034.55"
Breyer Group Plc,"312,864.17"
Eversheds LLP,"285,370.52"
Mulalley & Co Ltd,"280,058.32"
Lambert Smith Hampton,"257,222.58"
Windmill Care Centre,"250,187.81"
Midos Estates Ltd,"248,690.73"
Limetree Healthcare Ltd,"244,603.11"
Interserve Technical Services Ltd,"235,505.16"
Enara Limited,"231,858.13"
SCC INTERNATIONAL LTD,"228,913.22"
The Fostering Partnership,"226,414.48"
Blakedown Landscapes (SE) Ltd,"211,363.25"
ISG Jackson Limited,"208,050.00"
Queens Oak Care Centre,"203,348.98"
The Dulwich Care Centre,"198,030.85"
Southside Partnership,"196,041.62"
Prime Time Recruitment Ltd,"194,295.70"
Virgin Media Business,"193,465.15"
Turners Cleaning & Support Services Ltd,"192,884.39"
Precision Lift Services Ltd,"189,358.59"
Prime Estates Property Management,"188,662.50"
Prospects Services Ltd,"187,634.49"
Age Concern,"185,670.40"
The Hesley Group Ltd,"183,433.25"
Lengard Ltd,"178,000.00"
Medequip Assistive Technology Ltd,"172,171.79"
Pellings LLP,"166,601.36"
Apex Lifts,"166,442.36"
Northgate Information Solutions Uk Ltd,"163,381.40"
City Suburban Tree Surgeons,"158,262.30"
Norbury Property Services (London) Ltd,"157,393.02"
Blackford Education (Exmoor) Ltd t/a Libra,"157,014.00"
British Gas Business,"155,093.73"
Dell Computer Corporation Ltd,"146,320.83"
Royal Bank Of Scotland Plc,"142,608.30"
Sunbeam Fostering Agency Ltd,"142,525.54"
D Singh Properties Ltd TA DS Properties,"140,041.81"
Thames Reach Bondway,"137,736.53"
Devonshires Solicitors,"136,338.10"
British Telecommunications Plc,"135,255.67"
KWSH Ltd,"133,773.11"
Choice Support,"130,469.36"
Lambeth Mencap,"127,478.90"
South Bank Employers Group,"125,435.58"
Castle Care,"124,395.25"
Kelly Executive,"123,745.60"
CT Plus,"123,322.28"
National Fostering Agency,"121,695.37"
St Michaels Fellowship,"116,601.50"
Sanctuary Care Ltd,"114,832.60"
PricewaterhouseCoopers,"113,276.83"
Whippersnappers,"111,468.50"
Cmg Homes Ltd,"109,840.19"
Compass,"108,750.00"
Cambian Autism Services Ltd,"108,439.94"
Caretech Community Services Ltd,"107,288.89"
Greenwich Leisure Limited,"107,213.33"
Holmdene Housing Ltd,"107,081.29"
Newham House Supporting People Ltd,"106,286.45"
Lancedrum Ltd,"105,812.97"
Solor Care Group Ltd,"104,636.87"
L'Arche Lambeth Community,"104,002.36"
Ensigna Construction Ltd,"101,604.00"
Hunter & Partners,"99,755.37"
Sense,"99,182.68"
Beach Communications Ltd,"97,910.18"
South Bank Centre London,"97,087.65"
Action For Children Services Ltd.,"93,500.90"
BUPA Care Homes,"93,104.23"
Northgate Public Services,"90,545.95"
Transition Town Brixton,"90,000.00"
Cranfield Investments Ltd,"89,098.40"
Alphatrack Systems Ltd,"89,018.20"
Cartel Security Systems Plc,"87,483.71"
Astra Homes Ltd,"87,310.08"
ITC Concepts Limited,"86,769.63"
Anthony Gold Lerman & Muirhead,"86,620.28"
Europa Nationwide Technical Services Ltd,"84,682.75"
Direct Care Ltd,"83,464.80"
W G Wigginton Ltd,"83,400.50"
The Rathbone Centre,"82,345.26"
Frankham Consultancy Group Ltd,"80,428.45"
Sprunt Ltd,"78,931.71"
Catch22,"76,997.08"
F S Properties,"73,867.86"
St Mungo Association,"73,312.80"
One Step At A Time,"72,877.75"
OCS Group UK Limited t/a Cannon,"72,042.52"
Sherico Care Homes Ltd,"71,900.77"
Gold Knight Trading Ltd,"71,692.38"
ISS Eaton,"70,729.12"
Kindercare Fostering Ltd,"70,346.31"
Emo Oil Ltd,"69,707.86"
Galaxy Lettings Ltd,"69,222.00"
One Housing Group,"68,817.43"
Hytyme Ltd,"67,874.00"
Baily Garner,"67,263.28"
Consensus - Grove Care Partnership,"66,555.48"
Richmond Management (Northern) Ltd,"66,250.00"
Lambeth Academy,"65,940.02"
Four Seasons Health Care Ltd,"65,576.21"
Atkins Ltd,"64,733.37"
Holistic Community Care Ltd,"63,828.69"
Forest Gate Construction Co Ltd,"63,681.30"
Care Unlimited,"62,877.33"
Greater London Fostering,"62,777.37"
Orchard Hill College,"59,064.84"
A*Transport Ltd.,"58,591.75"
BHHI,"57,089.22"
The Frances Taylor Foundation,"56,982.93"
Springfield Road Ltd,"56,642.16"
Look Ahead Housing & Care Ltd,"54,003.41"
Seytos Residential,"53,996.45"
Sternberg Reed Taylor & Gill Sols,"53,666.40"
Willmott Dixon Ltd,"53,467.41"
Alltask Ltd,"52,652.43"
Carewatch (Lambeth),"52,094.62"
Blizz Hotels,"51,698.05"
Broadway,"51,621.31"
TPP Law Ltd,"51,620.02"
Frontier Support Services Ltd,"50,970.08"
Tumblewood Community,"50,142.60"
KWAS Ltd,"48,688.08"
Supported Fostering Services,"48,310.29"
Mace Ltd,"47,078.40"
Cognithan Ltd,"46,237.42"
Watts Group PLC,"46,062.15"
Plus One (South West) Ltd,"45,346.00"
Laurels Care Centre Ltd,"45,210.01"
