Sum of Invoice Net Amount,
Supplier Name,Total
Lambeth Living Ltd,"5,051,755.00"
Transport Trading Limited,"2,834,472.00"
Winckworth Sherwood,"2,421,436.00"
Jardine Lloyd Thompson UK Ltd,"2,380,967.99"
Morrison Facilities Services Ltd,"1,728,861.21"
Matrix SCM Ltd,"1,422,288.10"
Western Riverside Waste Authority,"1,089,412.31"
NSL Limited,"932,325.52"
Mears Limited,"856,759.15"
London Councils,"762,521.10"
Zurich Municipal,"734,543.26"
Focus Education (Lambeth) Ltd,"633,774.16"
RM Education plc,"562,730.00"
Breyer Group Plc,"514,702.05"
Lengard Ltd,"454,730.07"
The Hesley Group Ltd,"410,907.02"
Denhan International,"406,117.10"
Thames Reach Bondway,"402,857.87"
British Telecommunications Plc,"340,250.14"
Veolia ES (UK) Ltd,"330,814.32"
Allied Healthcare (Uk) Ltd,"319,388.82"
Keratome Ltd,"303,584.17"
F M Conway Ltd,"293,152.00"
Southside Partnership,"285,616.01"
Pitney Bowes Management Services Ltd,"272,741.37"
Midos Estates Ltd,"262,545.12"
City Suburban Tree Surgeons,"248,702.30"
Windmill Care Centre,"243,372.37"
Corona Gas,"240,321.83"
Limetree Healthcare Ltd,"237,939.70"
Capital Community Foundation,"237,000.00"
Capita Business Services Ltd,"230,508.24"
EPS Group Limited,"217,600.00"
Harrison Catering Services Ltd,"217,552.57"
Fountains Environmental Ltd,"213,442.49"
MJF Corporate Guarding Ltd,"206,764.56"
Mr D S Taak,"204,434.86"
Lambeth Lighting Services,"203,072.72"
Queens Oak Care Centre,"197,809.06"
Norbury Property Services (London) Ltd,"173,660.23"
St Mungo Association,"167,360.56"
Metropolitan Support Trust,"142,502.42"
South Bank Centre London,"135,138.00"
Baillie Gifford Life Limited,"123,462.47"
Cmg Homes Ltd,"117,140.26"
United Residents Housing,"114,306.73"
National Fostering Agency,"114,037.18"
Blackford Education (Exmoor) Ltd t/a Libra,"113,820.00"
The Fostering Partnership,"112,773.99"
Lambeth Mencap,"111,969.84"
Action For Children Services Ltd.,"104,633.44"
Kingsdale Nursing Home,"103,793.33"
South Thames Crossroads,"102,500.00"
Sense,"101,829.78"
Caretech Community Services Ltd,"98,517.37"
Pinnacle Psg,"98,378.39"
Interserve Technical Services Ltd,"98,214.82"
Astra Homes Ltd,"97,613.79"
