Sum of Invoice Nett Amount,

Supplier Name,Total
Lambeth Living Ltd,"3,942,708.84"
Veolia ES (UK) Ltd,"1,863,310.97"
Engage Lambeth Limited,"1,647,233.95"
Matrix SCM Ltd,"1,197,197.56"
Morrison Facilities Services Ltd,"991,771.95"
Lengard Ltd,"980,143.45"
NSL Limited,"975,606.80"
Harrison Catering Services Ltd,"679,988.04"
Apollo Property Services Group Ld,"639,351.55"
London Grid For Learning,"611,794.74"
F M Conway Ltd,"576,162.71"
Lambeth Lighting Services,"561,296.44"
Mears Limited,"511,337.99"
RM Education plc,"502,715.00"
Allied Healthcare (Uk) Ltd,"451,555.39"
T Brown Group Ltd,"436,662.69"
Denhan International,"396,902.49"
Oco Ltd,"382,501.42"
Mulalley & Co Ltd,"364,328.99"
Metropolitan Support Trust,"353,659.59"
Southside Partnership,"295,181.35"
Breyer Group Plc,"281,218.12"
Midos Estates Ltd,"256,341.00"
Keratome Ltd,"249,347.34"
Windmill Care Centre,"243,372.37"
Thames Reach Bondway,"239,415.04"
Limetree Healthcare Ltd,"237,939.70"
Queens Oak Care Centre,"197,809.06"
Pitney Bowes Management Services Ltd,"181,954.00"
PricewaterhouseCoopers,"181,108.80"
St Mungo Association,"175,412.38"
Mosaic Clubhouse,"168,475.80"
D Singh Properties Ltd TA DS Properties,"161,794.16"
Cmg Homes Ltd,"156,522.93"
Norbury Property Services (London) Ltd,"146,983.98"
National Fostering Agency,"145,453.00"
Blakedown Landscapes (SE) Ltd,"144,488.30"
United Residents Housing,"135,104.41"
Lambeth Mencap,"134,717.60"
Cambian Asperger Syndrome Services Ltd,"130,290.66"
CfBT Education Trust,"127,540.00"
Kingsdale Nursing Home,"126,288.99"
EPS Maintenance,"120,852.73"
Interserve Technical Services Ltd,"114,611.97"
Caretech Community Services Ltd,"111,556.27"
Vinstrata Builder (London) Ltd,"109,976.63"
Greenwich Leisure Limited,"108,243.08"
North Hill House Priory,"105,602.60"
Deloitte LLP,"104,956.00"
Transport For London,"103,677.84"
Frontier Support Services Ltd,"101,940.16"
The Fostering Partnership,"100,942.01"
Turners Cleaning & Support Services Ltd,"99,887.82"
CT Plus,"97,992.05"
Sense,"94,915.14"
Aon,"89,691.00"
Solor Care Group Ltd,"89,461.92"
Orange Personal Communications Services Ltd,"88,908.16"
Medequip Assistive Technology Ltd,"86,531.79"
Astra Homes Ltd,"84,982.63"
Chatsworth Care,"83,507.78"
F S Properties,"81,550.08"
Frosts Landscape Construction ltd,"80,688.60"
Single Homeless Project,"80,504.56"
Farnrise Construction Ltd,"79,959.00"
Klearwater Supported Homes Ltd,"77,709.76"
Cambian Care Services,"74,845.67"
Newham House Supporting People Ltd,"72,432.41"
Court Lodge,"71,903.24"
Sanctuary Care Ltd,"70,787.38"
By The Bridge,"69,587.29"
Four Seasons Health Care Ltd,"65,538.78"
Sherico Care Homes Ltd,"65,171.69"
Look Ahead Housing & Care Ltd,"63,915.00"
The Dulwich Estate,"63,760.62"
Compass,"63,750.00"
BUPA Care Homes,"62,178.37"
Edf Energy Plc,"62,114.53"
Blackford Education (Exmoor) Ltd t/a Libra,"61,980.00"
Market and Opinion Research International Limited (Ipsos Mori),"61,491.66"
BHHI,"61,184.15"
L'Arche Lambeth Community,"61,028.42"
Talis Information Ltd,"60,442.90"
Underley Educational Services,"59,800.00"
Care Unlimited,"58,683.56"
EPS Group Limited,"58,040.02"
Hunter & Partners,"57,941.63"
Banking Automation Ltd,"56,700.00"
Kindercare Fostering Ltd,"56,647.62"
Meadowside Building Development Ltd,"56,545.00"
Tumblewood Community,"56,271.14"
City Suburban Tree Surgeons,"55,826.08"
Quality Protects Children Ltd,"54,996.42"
Foster Care Associates Ltd,"54,723.37"
Holmdene Housing Ltd,"54,673.13"
Families For Children (South) Ltd,"54,427.15"
South Thames Crossroads,"53,835.50"
Blizz Hotels,"53,734.95"
Royal Mencap Society,"52,740.89"
The Frances Taylor Foundation,"51,880.32"
One Step At A Time,"51,850.20"
Anthony Gold Lerman & Muirhead,"51,781.64"
Carewatch (Lambeth),"51,620.58"
Cunningham Lindsey United Kingdom,"50,744.00"
British Telecommunications Plc,"49,582.81"
St Christophers Fellowship,"49,185.43"
Centrepoint Soho Ltd,"48,835.44"
Southern Care Ltd,"48,600.01"
TPP Law Ltd,"48,459.73"
Eaton Green Estate Agents Ltd,"47,879.02"
Gleeds Management Services Ltd,"47,335.00"
South London YMCA,"45,475.06"
Sherwood Cars Ltd.,"45,125.30"
Supported Fostering Services,"44,583.68"
Vosse Court Limited,"44,574.10"
Broadway,"43,831.56"
Nak Centre,"43,693.08"
Orland Limited & Blue Chip Trading Limited No 2 Account,"43,632.50"
Banya Family Placement Agency,"43,056.90"
R@W Logistics Ltd,"42,755.69"
KPMG LLP,"42,705.00"
Thames Water Utilities Ltd,"42,119.10"
ISS Eaton,"40,743.18"
Laurels Care Centre Ltd,"40,613.18"
Curocare Ltd,"40,458.85"
Black Cultural Archives,"40,003.86"
Solace Women's Aid,"39,380.96"
St Michaels Fellowship,"39,174.46"
Oasis Care And Training Agency,"38,707.58"
Holistic Community Care Ltd,"38,681.25"
Atkins Ltd,"38,338.60"
Royal Bank Of Scotland Plc,"37,797.92"
Cycle Training UK Ltd,"37,064.00"
Ethelbert Homes,"36,676.81"
Waterloo Quarter Business Alliance,"36,495.90"
Orchard Hill College,"36,318.52"
Sunbeam Fostering Agency Ltd,"36,060.16"
OCS Group UK Limited t/a Cannon,"36,021.26"
Kirkstall Lodge Ltd,"35,339.08"
Childcare Vouchers Ltd.,"34,551.06"
British Gas Business,"34,541.60"
Whippersnappers,"34,434.00"
Ashfords,"34,202.13"
Greater London Fostering,"33,932.03"
Gold Knight Trading Ltd,"33,385.68"
Roughton London Ltd,"33,093.75"
Kelly Executive,"32,492.30"
Jigsaw Cabas School,"32,307.32"
Crest Nicholson Eastern,"32,281.53"
The Rathbone Centre,"32,212.70"
Cognithan Ltd,"31,647.40"
Healthcare & Transport Services,"31,633.24"
Partnership in Care Ltd,"31,111.60"
University of Bedfordshire,"30,855.00"
Pringle Richards Sharatt Ltd,"30,770.56"
Family Mosaic,"30,168.80"
Independent Lifestyles LLP,"29,697.20"
Mental Health Care Uk Ltd,"28,874.56"
South Bank Employers Group,"28,750.00"
